Type,Price,Amount,Balance,BTC
Buy,37050000.0,0.0067442645074224025,9750000.0,0.0067442645074224025
Buy,36802000.0,0.006789712515624151,9500000.0,0.013533977023046553
Buy,36690000.0,0.006810438811665304,9250000.0,0.020344415834711856
Sell,37080000.0,0.010172207917355928,9626996.87684077,0.010172207917355928
Sell,37192000.0,0.005086103958677964,9816064.674082706,0.005086103958677964
Sell,37227000.0,0.002543051979338982,9910687.535019541,0.002543051979338982
Sell,37249000.0,0.001271525989669491,9958026.925072946,0.001271525989669491
Sell,37291000.0,0.0006357629948347455,9981723.308794407,0.0006357629948347455
Sell,37432000.0,0.00031788149741737275,9993616.299535628,0.00031788149741737275
Sell,37524000.0,0.00015894074870868638,9999577.410143847,0.00015894074870868638
Sell,37714000.0,7.947037435434319e-05,10002573.057269396,7.947037435434319e-05
Sell,37750000.0,3.9735187177171594e-05,10004072.310583677,3.9735187177171594e-05
Sell,37925000.0,1.9867593588585797e-05,10004825.412331281,1.9867593588585797e-05
Buy,37399000.0,0.0066850514374348175,9754686.103968475,0.006704919031023404
Sell,37660000.0,0.003352459515511702,9880876.602509968,0.003352459515511702
Sell,37666000.0,0.001676229757755851,9943981.904130572,0.001676229757755851
Sell,37670000.0,0.0008381148788779255,9975537.90572416,0.0008381148788779255
Buy,37051000.0,0.006748651224013057,9725368.544542663,0.007586766102890982
Sell,37300000.0,0.003793383051445491,9866790.98576767,0.003793383051445491
Sell,37434000.0,0.0018966915257227455,9937756.235966288,0.0018966915257227455
Sell,37439000.0,0.0009483457628613728,9973243.600423547,0.0009483457628613728
Sell,37444000.0,0.0004741728814306864,9990989.652331151,0.0004741728814306864
Sell,37504000.0,0.0002370864407153432,9999876.896358803,0.0002370864407153432
Sell,37537000.0,0.0001185432203576716,10004324.428342938,0.0001185432203576716
Sell,37570000.0,5.92716101788358e-05,10006550.149320161,5.92716101788358e-05
Sell,37605000.0,2.96358050894179e-05,10007664.046543323,2.96358050894179e-05
Sell,37620000.0,1.481790254470895e-05,10008221.217312308,1.481790254470895e-05
Sell,37572000.0,7.408951272354475e-06,10008499.447244955,7.408951272354475e-06
Sell,37596000.0,3.7044756361772374e-06,10008638.65107424,3.7044756361772374e-06
Sell,37593000.0,1.8522378180886187e-06,10008708.247434948,1.8522378180886187e-06
Sell,37689000.0,9.261189090443093e-07,10008743.134478264,9.261189090443093e-07
Sell,37699000.0,4.630594545221547e-07,10008760.5826282,4.630594545221547e-07
Buy,37039000.0,0.006752189211215336,9758541.136711037,0.006752652270669858
Buy,36881000.0,0.006781115918608628,9508321.690793874,0.013533768189278487
Sell,37040000.0,0.006766884094639243,9758841.754965879,0.006766884094639243
Sell,37186000.0,0.0033834420473196217,9884595.52259952,0.0033834420473196217
Sell,37269000.0,0.0016917210236598109,9947612.749054883,0.0016917210236598109
Sell,37278000.0,0.0008458605118299054,9979128.971220799,0.0008458605118299054
Sell,37305000.0,0.0004229302559149527,9994898.495711107,0.0004229302559149527
Sell,37234000.0,0.00021146512795747636,10002768.251439188,0.00021146512795747636
Sell,36995000.0,0.00010573256397873818,10006677.871855479,0.00010573256397873818
Sell,37041000.0,5.286628198936909e-05,10008635.112696672,5.286628198936909e-05
Sell,37604000.0,2.6433140994684545e-05,10009628.60753472,2.6433140994684545e-05
Sell,37650000.0,1.3216570497342272e-05,10010125.962612005,1.3216570497342272e-05
Sell,37629000.0,6.608285248671136e-06,10010374.501446044,6.608285248671136e-06
Sell,37259000.0,3.304142624335568e-06,10010497.54894156,3.304142624335568e-06
Sell,37323000.0,1.652071312167784e-06,10010559.178369015,1.652071312167784e-06
Sell,37324000.0,8.26035656083892e-07,10010589.993908366,8.26035656083892e-07
Sell,37201000.0,4.13017828041946e-07,10010605.350902248,4.13017828041946e-07
Sell,37249000.0,2.06508914020973e-07,10010613.039306661,2.06508914020973e-07
Sell,37316000.0,1.032544570104865e-07,10010616.890423458,1.032544570104865e-07
Sell,37495000.0,5.162722850524325e-08,10010618.82521851,5.162722850524325e-08
Sell,37261000.0,2.5813614252621626e-08,10010619.78657867,2.5813614252621626e-08
Sell,37270000.0,1.2906807126310813e-08,10010620.267374853,1.2906807126310813e-08
Sell,37478000.0,6.453403563155406e-09,10010620.50911458,6.453403563155406e-09
Sell,37570000.0,3.226701781577703e-09,10010620.630281152,3.226701781577703e-09
Sell,37614000.0,1.6133508907888516e-09,10010620.69093539,1.6133508907888516e-09
Sell,37653000.0,8.066754453944258e-10,10010620.721293954,8.066754453944258e-10
Sell,37661000.0,4.033377226972129e-10,10010620.73647646,4.033377226972129e-10
Sell,37693000.0,2.0166886134860645e-10,10010620.744074164,2.0166886134860645e-10
Sell,37715000.0,1.0083443067430322e-10,10010620.747875232,1.0083443067430322e-10
Sell,36987000.0,5.041721533715161e-11,10010620.74973908,5.041721533715161e-11
Sell,37008000.0,2.5208607668575806e-11,10010620.750671534,2.5208607668575806e-11
Sell,37019000.0,1.2604303834287903e-11,10010620.7511379,1.2604303834287903e-11
Sell,37104000.0,6.3021519171439516e-12,10010620.751371616,6.3021519171439516e-12
Sell,37119000.0,3.1510759585719758e-12,10010620.751488524,3.1510759585719758e-12
Sell,37130000.0,1.5755379792859879e-12,10010620.751546994,1.5755379792859879e-12
Sell,37138000.0,7.877689896429939e-13,10010620.751576236,7.877689896429939e-13
Sell,37152000.0,3.9388449482149697e-13,10010620.751590861,3.9388449482149697e-13
Sell,37150000.0,1.9694224741074849e-13,10010620.751598174,1.9694224741074849e-13
Sell,37169000.0,9.847112370537424e-14,10010620.751601832,9.847112370537424e-14
Sell,37200000.0,4.923556185268712e-14,10010620.751603663,4.923556185268712e-14
Sell,37401000.0,2.461778092634356e-14,10010620.751604583,2.461778092634356e-14
Buy,37015000.0,0.006757811320565782,9760355.232814446,0.0067578113205903996
Sell,37115000.0,0.0033789056602951998,9885700.612354511,0.0033789056602951998
Sell,37100000.0,0.0016894528301475999,9948347.973002989,0.0016894528301475999
Sell,37163000.0,0.0008447264150737999,9979724.844482495,0.0008447264150737999
Buy,36825000.0,0.006792953610795763,9729449.189937668,0.0076376800258695626
Sell,37057000.0,0.0038188400129347813,9870893.186919812,0.0038188400129347813
Sell,37003000.0,0.0019094200064673906,9941512.128284875,0.0019094200064673906
Sell,37072000.0,0.0009547100032336953,9976887.441020135,0.0009547100032336953
Sell,37076000.0,0.00047735500161684766,9994577.00585306,0.00047735500161684766
Sell,37086000.0,0.00023867750080842383,10003424.173851144,0.00023867750080842383
Sell,37121000.0,0.00011933875040421191,10007851.932618022,0.00011933875040421191
Sell,37047000.0,5.966937520210596e-05,10010061.398675462,5.966937520210596e-05
Sell,37111000.0,2.983468760105298e-05,10011168.04016948,2.983468760105298e-05
Sell,37096000.0,1.491734380052649e-05,10011721.137268212,1.491734380052649e-05
Sell,37098000.0,7.458671900263245e-06,10011997.700727463,7.458671900263245e-06
Sell,37169000.0,3.7293359501316223e-06,10012136.247107549,3.7293359501316223e-06
Sell,37210000.0,1.8646679750658112e-06,10012205.596710753,1.8646679750658112e-06
Sell,37243000.0,9.323339875329056e-07,10012240.302263994,9.323339875329056e-07
Sell,37080000.0,4.661669937664528e-07,10012257.579093387,4.661669937664528e-07
Sell,37169000.0,2.330834968832264e-07,10012266.238242142,2.330834968832264e-07
Sell,37180000.0,1.165417484416132e-07,10012270.569097837,1.165417484416132e-07
Sell,37194000.0,5.82708742208066e-08,10012272.73534107,5.82708742208066e-08
Sell,37217000.0,2.91354371104033e-08,10012273.819132466,2.91354371104033e-08
Sell,37219000.0,1.456771855520165e-08,10012274.361057285,1.456771855520165e-08
Sell,37421000.0,7.283859277600825e-09,10012274.633490298,7.283859277600825e-09
Sell,37418000.0,3.6419296388004124e-09,10012274.769695884,3.6419296388004124e-09
Sell,37430000.0,1.8209648194002062e-09,10012274.837820517,1.8209648194002062e-09
Buy,37110000.0,0.006741625416526175,9761967.965176908,0.006741627237490994
Buy,36881000.0,0.006783485241920944,9511661.0925333,0.013525112479411938
Sell,36967000.0,0.006762556239705969,9761527.513338253,0.006762556239705969
Sell,36968000.0,0.0033812781198529845,9886464.103328211,0.0033812781198529845
Sell,37000000.0,0.0016906390599264922,9948986.471722882,0.0016906390599264922
Sell,37070000.0,0.0008453195299632461,9980306.798701132,0.0008453195299632461
Sell,37088000.0,0.00042265976498162306,9995974.566262089,0.00042265976498162306
Sell,37049000.0,0.00021132988249081153,10003800.212298082,0.00021132988249081153
Sell,37097000.0,0.00010566494124540576,10007718.1046973,0.00010566494124540576
Sell,37121000.0,5.283247062270288e-05,10009678.318242215,5.283247062270288e-05
Sell,37584000.0,2.641623531135144e-05,10010670.649616262,2.641623531135144e-05
Sell,37622000.0,1.320811765567572e-05,10011167.316960802,1.320811765567572e-05
Sell,37675000.0,6.60405882783786e-06,10011416.000473183,6.60405882783786e-06
Sell,37670000.0,3.30202941391893e-06,10011540.325727481,3.30202941391893e-06
Sell,37447000.0,1.651014706959465e-06,10011602.120362438,1.651014706959465e-06
Sell,37467000.0,8.255073534797325e-07,10011633.034181809,8.255073534797325e-07
Sell,37489000.0,4.1275367673986627e-07,10011648.500167536,4.1275367673986627e-07
Sell,39775000.0,2.0637683836993313e-07,10011656.704701962,2.0637683836993313e-07
Sell,39738000.0,1.0318841918496657e-07,10011660.803153113,1.0318841918496657e-07
Sell,39773000.0,5.1594209592483283e-08,10011662.854183583,5.1594209592483283e-08
Sell,39688000.0,2.5797104796241642e-08,10011663.87750716,2.5797104796241642e-08
Sell,39731000.0,1.2898552398120821e-08,10011664.389723308,1.2898552398120821e-08
Sell,39860000.0,6.4492761990604104e-09,10011664.646662924,6.4492761990604104e-09
Sell,39855000.0,3.2246380995302052e-09,10011664.775116617,3.2246380995302052e-09
Sell,39940000.0,1.6123190497651026e-09,10011664.839480441,1.6123190497651026e-09
Buy,38528000.0,0.006493108304206793,9761373.216924684,0.006493109916525843
Buy,38528000.0,0.006493108304206793,9511081.594368927,0.012986218220732634
Buy,38315000.0,0.00652920466513061,9260789.97181317,0.019515422885863245
Sell,38542000.0,0.009757711442931622,9636683.645389425,0.009757711442931622
Buy,37915000.0,0.006596934689455044,9386435.742687386,0.016354646132386665
Buy,37748000.0,0.006626120026244781,9136187.839985346,0.022980766158631444
Buy,37636000.0,0.006645838525632054,8885939.937283307,0.029626604684263497
Sell,40079000.0,0.014813302342131749,9479345.43068132,0.014813302342131749
Sell,40090000.0,0.007406651171065874,9776129.609806627,0.007406651171065874
Sell,40146000.0,0.003703325585532937,9924728.981908955,0.003703325585532937
Sell,40138000.0,0.0018516627927664686,9999013.862064427,0.0018516627927664686
Sell,40100000.0,0.0009258313963832343,10036121.138139896,0.0009258313963832343
Sell,40175000.0,0.00046291569819161715,10054709.477495657,0.00046291569819161715
Buy,39604000.0,0.00635549007011347,9802880.734387329,0.006818405768305087
Sell,39878000.0,0.0034092028841525433,9938764.950905256,0.0034092028841525433
Sell,39880000.0,0.0017046014420762717,10006710.466662502,0.0017046014420762717
Sell,39915000.0,0.0008523007210381358,10040713.040151099,0.0008523007210381358
Sell,40141000.0,0.0004261503605190679,10057810.588721884,0.0004261503605190679
Sell,40551000.0,0.00021307518025953396,10066446.680150772,0.00021307518025953396
Sell,40156000.0,0.00010653759012976698,10070722.664558288,0.00010653759012976698
Sell,40179000.0,5.326879506488349e-05,10072861.881331742,5.326879506488349e-05
Buy,39702000.0,0.006340959379225603,9820987.174704414,0.006394228174290487
Sell,40005000.0,0.0031971140871452433,9948823.773486132,0.0031971140871452433
Sell,40038000.0,0.0015985570435726217,10012794.798883237,0.0015985570435726217
Sell,39853000.0,0.0007992785217863108,10044632.518988522,0.0007992785217863108
Sell,39864000.0,0.0003996392608931554,10060555.772875018,0.0003996392608931554
Sell,39887000.0,0.0001998196304465777,10068521.99337184,0.0001998196304465777
Sell,40074000.0,9.990981522328885e-05,10072523.777414132,9.990981522328885e-05
Sell,40097000.0,4.995490761164443e-05,10074525.81782367,4.995490761164443e-05
Sell,40095000.0,2.4977453805822213e-05,10075526.78809851,2.4977453805822213e-05
Sell,40123000.0,1.2488726902911107e-05,10076027.622745441,1.2488726902911107e-05
Sell,39907000.0,6.244363451455553e-06,10076276.691960793,6.244363451455553e-06
Sell,39914000.0,3.1221817257277767e-06,10076401.248412812,3.1221817257277767e-06
Sell,39939000.0,1.5610908628638883e-06,10076463.56564658,1.5610908628638883e-06
Sell,39963000.0,7.805454314319442e-07,10076494.742987188,7.805454314319442e-07
Sell,40041000.0,3.902727157159721e-07,10076510.362083543,3.902727157159721e-07
Sell,40081000.0,1.9513635785798604e-07,10076518.179433271,1.9513635785798604e-07
Sell,40119000.0,9.756817892899302e-08,10076522.091813873,9.756817892899302e-08
Buy,39612000.0,0.006356336284114069,9824608.942352816,0.006356433852292998
Sell,39976000.0,0.003178216926146499,9951597.815992529,0.003178216926146499
Sell,40044000.0,0.0015891084630732496,10015200.258158186,0.0015891084630732496
Sell,40225000.0,0.0007945542315366248,10047145.221649766,0.0007945542315366248
Sell,40257000.0,0.0003972771157683124,10063130.409906827,0.0003972771157683124
Sell,40250000.0,0.0001986385578841562,10071121.614260687,0.0001986385578841562
Sell,40263000.0,9.93192789420781e-05,10075118.506942667,9.93192789420781e-05
Buy,39882000.0,0.00631491953516063,9823140.897236537,0.006414238814102708
Sell,39995000.0,0.003207119407051354,9951345.503551213,0.003207119407051354
Sell,39951000.0,0.001603559703525677,10015377.28535991,0.001603559703525677
Sell,39926000.0,0.0008017798517628385,10047373.141790211,0.0008017798517628385
Sell,39926000.0,0.00040088992588141925,10063371.070005363,0.00040088992588141925
