market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,unit
KRW-BTC,2025-02-27T14:55:00,2025-02-27T23:55:00,124536000.0,124537000.0,124100000.0,124100000.0,1740668399445,4746828210.04023,38.17670779,5
KRW-BTC,2025-02-27T14:50:00,2025-02-27T23:50:00,124869000.0,125273000.0,124536000.0,124536000.0,1740668099897,3431019754.43219,27.48095672,5
KRW-BTC,2025-02-27T14:45:00,2025-02-27T23:45:00,125059000.0,125491000.0,124714000.0,124764000.0,1740667797461,3622646702.13163,28.98673953,5
KRW-BTC,2025-02-27T14:40:00,2025-02-27T23:40:00,125569000.0,125570000.0,125000000.0,125040000.0,1740667496631,3782658667.53949,30.22705871,5
KRW-BTC,2025-02-27T14:35:00,2025-02-27T23:35:00,125893000.0,126000000.0,125496000.0,125569000.0,1740667197927,1678441322.94685,13.34763379,5
KRW-BTC,2025-02-27T14:30:00,2025-02-27T23:30:00,126081000.0,126091000.0,125761000.0,125963000.0,1740666898096,1538190643.06519,12.20989696,5
KRW-BTC,2025-02-27T14:25:00,2025-02-27T23:25:00,125423000.0,126154000.0,125423000.0,126081000.0,1740666599695,2031937736.84796,16.17180286,5
KRW-BTC,2025-02-27T14:20:00,2025-02-27T23:20:00,125191000.0,125426000.0,125160000.0,125420000.0,1740666299494,1493548977.28623,11.92330961,5
KRW-BTC,2025-02-27T14:15:00,2025-02-27T23:15:00,125793000.0,125793000.0,125160000.0,125200000.0,1740665999125,2896500305.35182,23.11053519,5
KRW-BTC,2025-02-27T14:10:00,2025-02-27T23:10:00,125928000.0,125928000.0,125634000.0,125793000.0,1740665699714,728220108.21677,5.78848623,5
KRW-BTC,2025-02-27T14:05:00,2025-02-27T23:05:00,125957000.0,126026000.0,125638000.0,125860000.0,1740665398368,1326090236.93274,10.53490136,5
KRW-BTC,2025-02-27T14:00:00,2025-02-27T23:00:00,125826000.0,126117000.0,125826000.0,125957000.0,1740665098401,1038931216.89699,8.24584373,5
KRW-BTC,2025-02-27T13:55:00,2025-02-27T22:55:00,125486000.0,125884000.0,125480000.0,125826000.0,1740664799890,1739708001.65058,13.83814331,5
KRW-BTC,2025-02-27T13:50:00,2025-02-27T22:50:00,125792000.0,125840000.0,125280000.0,125486000.0,1740664498798,5599971780.69784,44.63685794,5
KRW-BTC,2025-02-27T13:45:00,2025-02-27T22:45:00,126598000.0,126750000.0,125792000.0,125792000.0,1740664199647,2378547711.74482,18.84363686,5
KRW-BTC,2025-02-27T13:40:00,2025-02-27T22:40:00,126639000.0,126643000.0,126396000.0,126590000.0,1740663896365,1515998106.37901,11.98057069,5
